County Name,Net Enrollment Rate Both Sexes,Net Enrollment Male,Net Enrollment Female,Adult Literacy Rate,GDP per capita,GNI per capita,Internet Users,population 15-64 female,Population female,population 15-64 male,Population male,population 15-64 total,Population total,
Arab World,85.32015228,86.75338745,83.8208313,77.36458588,,,,,,,,,,
East Asia & Pacific,96.20796204,96.21980286,96.19481659,95.10822296,9665.056079,15330.47201,46.81210321,784969458,1114333842,814574013,1151357557,1599543887,2265898057,-666354170
East Asia & Pacific (excluding high income),96.02580261,96.04087067,96.00901794,94.75167084,6307.578998,12118.24671,42.06223367,704643495,990675605,732828939,1031214381,1437472383,2022021082,-584548699
Euro area,98.91931152,98.96993256,98.86608124,,39820.58502,40161.56936,77.00232229,109927490,172687848,110769431,165741798,220698124,338429646,-117731522
Europe & Central Asia,97.0220871,97.01220703,97.03249359,98.99758911,26192.93477,29915.20729,68.94435122,304892832,464453905,298303690,436410059,603198409,903094668,-299896259
Europe & Central Asia (excluding high income),94.63925934,94.61537933,94.66441345,98.79963684,9887.848051,18634.53857,56.90141989,144507102,214381703,137033883,196307448,281541581,412510951,-130969370
European Union,98.5083313,98.52622986,98.48951721,,,,,,,,,,,0
Heavily indebted poor countries (HIPC),80.68956757,82.76576233,78.57621002,57.83716583,919.1971285,2049.846138,10.45985432,189000834,353490245,185499909,351255175,374500612,704745420,-330244808
High income,96.81752777,96.70590973,96.93456268,,42826.39266,45092.69893,78.47228334,383711708,590728471,397760699,584442992,781473168,1175966521,-394493353
Latin America & Caribbean,93.97532654,93.76145172,94.19831085,92.62431335,10237.42435,15007.92039,48.76919872,210095801,315440066,205623771,308573533,415719611,624331830,-208612219
Latin America & Caribbean (excluding high income),94.00299835,93.78986359,94.2252121,92.44799042,9891.404494,14622.85364,48.07666979,200854248,301669146,196490722,295293439,397344989,597035363,-199690374
Least developed countries: UN classification,82.52706909,84.55892944,80.45246887,60.56823349,1004.424747,2432.793412,10.46735545,264470648,468852095,259039276,465329318,523509348,934192321,-410682973
Low & middle income,90.44096375,91.28028107,89.54110718,82.30508423,4711.089694,9497.664236,32.42386616,1969049966,3010693515,2014521106,3080300466,3983570618,6093019655,-2109449037
Low income,81.07556915,83.38160706,78.72939301,56.57405472,659.3436492,1561.04792,7.712589106,169314985,314379069,164958792,310380845,334273267,624759914,-290486647
Lower middle income,90.51457977,91.29637146,89.67218781,73.91007996,2075.893344,6111.692496,22.68924498,912889919,1436796981,944159069,1488575535,1857048867,2927194316,-1070145449
Middle East & North Africa,94.59278107,95.90574646,93.21486664,80.75001526,8464.051914,18271.24618,40.13850778,131266730,203466228,143331606,217556613,274596884,421022841,-146425957
Middle East & North Africa (excluding high income),94.3022995,95.66954803,92.86805725,78.43881226,4407.790776,12045.57761,34.68657587,115033467,179216394,115894819,181861603,230928060,361077997,-130149937
Middle income,92.48592377,93.02291107,91.90377045,84.3886795,5173.999422,10405.72286,35.08866083,1799734981,2696314446,1849562314,2769919621,3649297351,5468259741,-1818962390
North America,94.47843933,94.11829376,94.8539505,,54187.49409,54980.93314,74.40481529,117493525,178931538,118143490,175176482,235637224,354173159,-118535935
OECD members,96.81095123,96.65863037,96.9703598,,,,,,,,,,,0
South Asia,93.53793335,94.04656982,92.97762299,66.69117737,1497.055909,5289.310727,19.07094498,538867129,833980568,571782307,887859971,1110648873,1721840539,-611191666
Sub-Saharan Africa,78.7673111,80.78981781,76.70359802,60.88054657,1819.169878,3519.451896,14.76994239,265176199,490815839,260522928,487809243,525698898,978625081.7,-452926183.7
Sub-Saharan Africa (excluding high income),78.76647186,80.78910828,76.70262909,60.87575531,1817.885502,3517.451756,14.76640037,265144525,490770099,260490436,487763624,525634732,978533722.7,-452898990.7
Upper middle income,95.66017914,95.78191376,95.52690125,94.26898956,8741.294774,15374.57979,49.02025566,886845062,1259517465,905403245,1281344086,1792248484,2541065425,-748816941
World,91.26405334,92.02387238,90.45097351,85.31338501,10874.86324,15235.18285,39.93869834,2352761674,3601421986,2412281805,3664743458,4765043786,7268986176,-2503942390
Afghanistan,,,,,612.0696514,1890,7,8225550,15881092,8891544,16876928,17117081,32758020,-15640939
Albania,95.92089081,,,,4578.666728,11200,60.1,989926,1431651,1006532,1457453,1996460,2889104,-892644
Algeria,,,,,5466.425778,13890,29.5,12781924,19365041,13018927,19748272,25800849,39113313,-13312464
American Samoa,,,,,11598.75174,,,,,,,,55437,-55437
Andorra,,,,,42294.99473,,95.9,,,,,,79223,-79223
Angola,,,,66.03011,4709.312024,6130,10.2,6995004,13731363,6601364,13189103,13596360,26920466,-13324106
Antigua and Barbuda,85.83293915,86.9190979,84.75028992,,12946.98694,20040,67.78,35435,51450,32319,47425,67755,98875,-31120
Argentina,99.67455292,99.87164307,99.47064209,,12245.25645,19400,64.7,13818767,21951996,13621957,21029519,27440753,42981515,-15540762
Armenia,,,,,3994.712355,8790,54.62280586,1085843,1541734,932139,1364486,2017975,2906220,-888245
Aruba,99.30724335,99.19191742,99.4274826,,,,83.78,37723,54417,34064,49378,71790,103795,-32005
Australia,97.13818359,96.92397308,97.36380005,,62214.60912,45220,84,7778298,11761189,7820598,11699505,15598904,23460694,-7861790
Austria,,,,,51733.48192,49070,80.99582496,2859816,4363705,2876299,4177870,5736127,8541575,-2805448
Azerbaijan,94.81210327,95.57256317,93.94293213,99.78899,7891.299776,17100,75.00001564,3464593,4793328,3353559,4741751,6818152,9535079,-2716927
"Bahamas, The",,,,,28374.35794,22250,76.92,138385,195145,133339,187024,271725,382169,-110444
Bahrain,95.72109985,95.14833069,96.32067871,,24983.37902,38340,90.50313348,363036,513091,666145,823306,1029523,1336397,-306874
